Amino.Acid,Iupred.score,ANN,PSSM,SVM,Consensus,normalization,SiteNum,Set,Response
S,0.125101,0.114,-0.415,-1.156,-0.486,0.079207921,758,train,0
S,0.127496,0.128,-0.188,-1.282,-0.447,0.020833333,2441,train,0
S,0.129801,0.172,-0.051,-0.971,-0.283,4.46229e-4,243,train,0
S,0.132295,0.165,-0.056,-1.186,-0.359,0.011904762,2493,train,0
S,0.132295,0.184,-0.195,-1.059,-0.357,0.134328358,202,train,0
S,0.132295,0.293,0.104,-0.468,-0.024,0.076923077,2078,train,0
S,0.134866,0.399,0.269,-0.512,0.052,0.001135074,1401,train,0
S,0.137348,0.294,-0.058,-0.471,-0.078,0.00238379,916,train,0
S,0.137348,0.421,0.23,-0.544,0.036,0.004132231,2418,train,0
S,0.137348,0.441,0.178,-0.255,0.121,0.001135074,2913,train,0
S,0.139895,0.212,-0.441,-1.314,-0.514,0.018518519,1626,train,0
S,0.139895,0.42,0.182,-0.576,0.009,0.00173913,1293,train,0
S,0.139895,0.488,0.096,-0.142,0.147,0.003030303,677,train,0
S,0.142424,0.107,-0.196,-1,-0.363,0.002724796,3039,train,0
S,0.142424,0.191,-0.062,-0.623,-0.165,0.024064171,812,train,0
S,0.144935,0.251,0.096,-0.785,-0.146,0.002645503,3023,train,0
S,0.147574,0.906,1.381,1.025,1.104,0.008064516,3192,train,1
S,0.147574,0.918,1.645,1.211,1.258,0.001897533,944,train,0
S,0.15284,0.059,-0.282,-1.762,-0.662,0.028301887,3195,test,NA
S,0.15284,0.122,-0.117,-1.271,-0.422,0.001356852,1275,test,NA
S,0.15284,0.209,-0.301,-0.814,-0.302,0.004123711,1570,train,0
S,0.15284,0.458,0.401,0.018,0.292,0.002061856,2337,train,0
S,0.158265,0.157,-0.124,-0.744,-0.237,0.009433962,3364,test,NA
S,0.158265,0.19,-0.236,-1,-0.349,0.00173913,1395,train,0
S,0.161087,0.104,-0.229,-1.123,-0.416,0.014900662,1035,train,0
S,0.161087,0.192,-0.074,-0.852,-0.245,0.001356852,2934,train,0
S,0.161087,0.387,0.157,-0.416,0.043,0.008928571,3166,train,0
S,0.161087,0.626,0.53,0.042,0.399,0.00173913,3144,train,0
S,0.161087,0.791,1.08,0.643,0.838,1,200,train,1
S,0.161087,0.825,1.07,0.77,0.888,0.043715847,2693,train,0
S,0.164327,0.051,-0.347,-1.568,-0.621,0.002061856,2732,train,0
S,0.164327,0.077,-0.356,-1.193,-0.491,0.035714286,1437,train,0
S,0.164327,0.154,0.018,-0.826,-0.218,0.010928962,940,train,0
S,0.170161,0.058,-0.381,-1.589,-0.637,0.04,636,train,0
S,0.17593,0.924,1.247,1.13,1.1,0.009433962,1049,train,1
S,0.179055,0.047,-0.441,-1.683,-0.692,0.069518717,1285,test,NA
S,0.179055,0.105,-0.226,-1.157,-0.426,0.006289308,1707,train,0
S,0.179055,0.481,0.097,-0.506,0.024,0.018867925,3325,test,NA
S,0.182256,0.099,-0.291,-1.098,-0.43,0.004545455,3716,test,NA
S,0.182256,0.513,0.173,-0.352,0.111,0.002645503,2629,train,0
S,0.185198,0.093,-0.228,-1.235,-0.457,0.00908059,1032,test,NA
S,0.185198,0.108,-0.029,-1.342,-0.421,0.012578616,2388,test,NA
S,0.185198,0.325,-0.056,-0.588,-0.106,0.073779796,2510,train,0
S,0.185198,0.496,0.418,-0.319,0.198,0.026785714,175,train,0
S,0.18812,0.193,-0.108,-1.083,-0.333,0.010869565,113,train,0
S,0.18812,0.264,-0.114,-0.817,-0.222,0.333333333,2672,test,NA
S,0.18812,0.354,0.587,0.114,0.352,0.025773196,808,train,0
S,0.191378,0.036,-0.199,-1.689,-0.617,4.1841e-4,2143,train,0
S,0.191378,0.079,-0.32,-1.417,-0.553,0.05,1297,test,NA
S,0.191378,0.45,0.7,0.034,0.395,0.012578616,2830,train,0
S,0.196879,0.064,-0.106,-1.041,-0.361,0.026785714,259,train,0
S,0.196879,0.084,-0.204,-1.59,-0.57,0.102836879,159,train,0
S,0.196879,0.121,0.03,-0.812,-0.22,0.008928571,845,train,0
S,0.196879,0.167,0.05,-0.689,-0.157,0.053348468,2768,train,0
S,0.196879,0.216,-0.052,-0.866,-0.234,0.005076142,2566,train,0
S,0.200174,0.181,-0.128,-0.964,-0.304,0.001108647,2651,train,0
S,0.200174,0.668,0.75,0.377,0.598,0.133928571,126,train,0
S,0.203355,0.042,-0.279,-1.226,-0.488,0.017077799,1408,train,0
S,0.203355,0.172,0.069,-0.657,-0.139,0.15,2002,train,0
S,0.206376,0.026,-0.432,-1.694,-0.7,0.005464481,1080,train,0
S,0.206376,0.12,-0.152,-1.106,-0.379,0.001135074,2296,test,NA
S,0.206376,0.395,0.206,-0.324,0.092,0.004123711,2636,test,NA
S,0.209395,0.183,-0.268,-0.766,-0.284,0.105802048,145,train,0
S,0.209395,0.456,0.05,-0.49,0.005,0.04,1217,train,0
S,0.2094,0.531,0.115,-0.074,0.191,6.46831e-4,503,train,0
S,0.21291,0.192,0.223,-0.849,-0.145,0.00173913,283,train,0
S,0.216401,0.038,-0.317,-1.706,-0.662,0,1913,test,NA
S,0.216401,0.517,0.606,-0.521,0.201,0.24,877,test,NA
S,0.216401,0.58,0.524,-0.348,0.252,0.04,2708,train,0
S,0.216401,0.789,0.678,0.457,0.641,0.009259259,2563,train,0
S,0.219301,0.144,-0.144,-0.895,-0.298,0.131147541,482,train,0
S,0.219301,0.527,0.216,-0.057,0.229,8.3682e-4,1726,train,0
S,0.222385,0.051,-0.254,-1.375,-0.526,0.00625,3440,train,0
S,0.222385,0.124,-0.249,-1.166,-0.43,0.020477816,3368,train,0
S,0.222385,0.384,0.897,0.096,0.459,0.141826923,1324,train,0
S,0.225814,0.025,-0.384,-1.814,-0.724,0.010638298,1592,train,0
S,0.225814,0.098,-0.144,-1.012,-0.353,0.397260274,2789,train,0
S,0.229226,0.03,-0.297,-1.48,-0.582,0.001135074,1480,train,0
S,0.232838,0.066,-0.252,-1.251,-0.479,0.00173913,95,train,0
S,0.232838,0.1,-0.376,-1.231,-0.502,0.016348774,436,test,NA
S,0.236433,0.121,-0.32,-1.246,-0.482,0.729559748,3664,train,1
S,0.236433,0.32,-0.132,-0.991,-0.268,0.00443459,2659,train,0
S,0.239899,0.097,-0.036,-1.322,-0.42,0.00990099,3702,train,0
S,0.243554,0.059,-0.392,-1.795,-0.709,0.095238095,2455,train,0
S,0.243554,0.064,-0.385,-1.473,-0.598,0.063492063,2619,train,0
S,0.243554,0.097,0.016,-0.954,-0.28,0.002375297,3314,train,0
S,0.247041,0.053,-0.184,-1.096,-0.409,0.00173913,2936,train,0
S,0.247041,0.282,0.095,-0.665,-0.096,0.010016694,1329,train,0
S,0.247041,0.525,0.976,-0.072,0.476,0.010434783,3529,train,0
S,0.247041,0.749,1.33,0.537,0.872,0.060773481,851,train,0
S,0.25031,0.716,1.02,0.763,0.833,0.180327869,1075,train,1
S,0.25406,0.106,0.012,-0.733,-0.205,0.004132231,361,train,0
S,0.25406,0.395,-0.091,-0.343,-0.013,0.010638298,2851,test,NA
S,0.25406,0.65,0.218,0.218,0.362,0.00476758,3124,train,0
S,0.25406,0.712,0.468,0.361,0.514,9.98004e-4,973,test,NA
S,0.257454,0.11,-0.333,-1.386,-0.536,0.356164384,2428,train,0
S,0.257454,0.257,0.122,-0.515,-0.045,0.0625,3317,train,0
S,0.26085,0.13,-0.181,-0.918,-0.323,0.01369863,530,train,0
S,0.26085,0.198,-0.061,-0.76,-0.208,0.018211921,2857,train,0
S,0.26085,0.214,-0.05,-0.873,-0.236,0.0625,1246,train,0
S,0.26085,0.392,-0.013,-0.548,-0.056,0.00216763,1537,test,NA
S,0.264545,0.155,-0.099,-0.876,-0.273,0.010989011,569,train,0
S,0.268042,0.111,-0.22,-1.034,-0.381,0.011111111,2995,train,0
S,0.268042,0.253,-0.008,-0.298,-0.018,0.044217687,1228,train,0
S,0.268042,0.434,0.392,-0.118,0.236,0.106382979,2201,train,0
S,0.271506,0.211,0.285,-0.658,-0.054,0.016528926,1392,train,0
S,0.271506,0.256,-0.03,-0.719,-0.164,0.010204082,241,train,0
S,0.275179,0.671,0.324,0.3,0.432,0.0125,1543,train,1
S,0.275179,0.808,1.271,0.649,0.909,0.00990099,441,train,0
S,0.275179,0.884,1.238,1,1.041,0.307692308,3549,test,NA
S,0.278302,0.071,-0.334,-1.236,-0.5,0.0625,309,train,0
S,0.278302,0.172,0.078,-0.719,-0.156,0.043478261,2927,test,NA
S,0.278302,0.236,0.11,-0.526,-0.06,0.006289308,383,train,0
S,0.278302,0.377,0.201,-0.144,0.145,0.08,3067,train,0
S,0.2817,0.383,0.169,-0.235,0.106,0.075709779,330,train,0
S,0.281712,0.043,-0.255,-1.466,-0.559,0.166666667,3562,train,0
S,0.281712,0.068,-0.404,-1.544,-0.627,0.004132231,252,train,0
S,0.281712,0.088,-0.187,-1.417,-0.505,0.021802326,2348,test,NA
S,0.281712,0.139,-0.324,-1.315,-0.5,0.005827506,1918,test,NA
S,0.281712,0.363,0.069,-0.671,-0.08,0.01369863,394,train,0
S,0.281712,0.431,0.038,-0.532,-0.021,0.005154639,2763,train,0
S,0.281712,0.654,0.861,0.224,0.58,0.007042254,2026,train,0
S,0.281712,0.77,0.553,0.523,0.615,0.002444988,61,train,0
S,0.281712,0.947,1.787,1.568,1.434,0.157024793,3569,train,1
S,0.284882,0.176,-0.131,-0.806,-0.254,0.003478261,2278,train,0
S,0.284882,0.218,0.095,-0.636,-0.108,0.011904762,1803,test,NA
S,0.284882,0.253,0.378,-0.455,0.059,0.033719705,1722,train,0
S,0.284882,0.439,0.43,-0.231,0.213,0.001362398,2439,train,0
S,0.288399,0.104,-0.24,-1.48,-0.539,0.010204082,431,train,0
S,0.291804,0.059,0.078,-1.069,-0.311,0.003412969,171,train,0
S,0.291804,0.078,-0.302,-1.345,-0.523,0.001135074,296,train,0
S,0.291804,0.078,-0.341,-1.299,-0.521,0.00334728,1728,train,0
S,0.291804,0.096,-0.343,-1.375,-0.541,0.004540295,1185,train,0
S,0.291804,0.099,-0.132,-1.134,-0.389,0.005347594,447,train,0
S,0.291804,0.131,-0.212,-1.018,-0.366,0.001453488,556,train,0
S,0.291804,0.283,-0.101,-0.814,-0.211,0.003401361,339,train,0
S,0.291804,0.556,0.493,0.324,0.458,0.00814664,532,train,0
S,0.295083,0.472,0.665,0.071,0.403,0.006237006,2316,test,NA
S,0.298791,0.096,-0.263,-1.223,-0.463,0.001897533,966,test,NA
S,0.298791,0.098,-0.278,-1.106,-0.429,0.004926108,230,train,0
S,0.298791,0.117,-0.133,-1.415,-0.477,0.001135074,2006,test,NA
S,0.298791,0.137,0.11,-0.604,-0.119,0.002659574,2772,test,NA
S,0.301917,0.029,-0.384,-2.236,-0.864,0.004716981,3026,test,NA
S,0.301917,0.637,0.176,0.071,0.295,0.014440433,3175,train,0
S,0.30533,0.102,0.194,-1.258,-0.321,0.077380952,2715,train,0
S,0.30533,0.152,0.051,-1.339,-0.379,0.020833333,2547,train,0
S,0.30533,0.878,1.144,1.439,1.154,0.107438017,3104,train,0
S,0.308712,0.08,-0.142,-1.395,-0.486,0.002252252,2501,test,NA
S,0.311707,0.149,-0.153,-0.783,-0.262,0.022869023,2413,test,NA
S,0.311707,0.933,1.476,1.599,1.336,0.023809524,1887,test,NA
S,0.311707,0.948,1.656,1.925,1.51,0.042553191,272,train,1
S,0.31487,0.065,-0.451,-1.486,-0.624,0.0456621,28,test,NA
S,0.31487,0.134,-0.021,-1.209,-0.365,0.008928571,2134,train,0
S,0.31487,0.565,0.32,-0.226,0.22,0.130630631,3199,train,1
S,0.31487,0.823,0.927,0.547,0.766,0.001135074,333,train,0
S,0.318242,0.052,-0.139,-1.396,-0.494,0.020833333,2869,train,0
S,0.318242,0.214,-0.125,-0.783,-0.231,0.04,1398,train,0
S,0.318242,0.22,0.694,-0.139,0.258,0,318,train,0
S,0.318242,0.486,0.21,-0.215,0.16,0.012371134,1953,test,NA
S,0.321458,0.095,-0.206,-1.037,-0.383,0.125,1157,train,0
S,0.321458,0.346,-0.157,-0.94,-0.25,0.003401361,2697,train,0
S,0.321458,0.525,0.879,0.112,0.505,0.0041841,667,train,0
S,0.321458,0.549,0.402,-0.183,0.256,0.041666667,629,train,0
S,0.32146,0.14,-0.031,-1.164,-0.352,0.006578947,6,train,0
S,0.324872,0.025,-0.577,-1.981,-0.844,0.102649007,2595,test,NA
S,0.324872,0.062,-0.292,-1.547,-0.592,0.071428571,1399,test,NA
S,0.324872,0.089,-0.257,-1.338,-0.502,0.020833333,2,train,0
S,0.324872,0.108,-0.227,-1.154,-0.424,0.001550388,3684,train,0
S,0.324872,0.174,-0.067,-0.73,-0.208,0.002252252,2587,test,NA
S,0.324872,0.184,-0.206,-1.162,-0.395,0.3,30,test,NA
S,0.324872,0.539,0.901,-0.024,0.472,0.84375,1905,train,0
S,0.328603,0.066,-0.251,-1.447,-0.544,0.001108647,2508,test,NA
S,0.328603,0.085,-0.113,-1.14,-0.389,0.013620885,1791,train,0
S,0.328603,0.189,0.139,-0.947,-0.206,0.024193548,257,train,0
S,0.328603,0.386,0.04,-0.494,-0.023,0.0625,2170,train,0
S,0.328603,0.544,0.19,-0.158,0.192,0.010215664,2250,train,0
S,0.328603,0.858,1.319,0.596,0.924,0.060773481,3258,train,0
S,0.328603,0.898,1.347,0.992,1.079,0.014251781,2974,train,0
S,0.332115,0.086,-0.249,-1.212,-0.458,0.005464481,2081,train,0
S,0.332115,0.272,0.055,-0.374,-0.016,0.00476758,3277,test,NA
S,0.332115,0.448,0.642,-0.027,0.354,0.189873418,2929,train,0
S,0.332115,0.506,0.342,-0.054,0.265,0.0125,3396,train,0
S,0.3356,0.544,0.397,0.08,0.34,0.037516171,3315,train,0
S,0.335645,0.026,-0.589,-2.097,-0.887,0.002713704,3611,test,NA
S,0.335645,0.03,-0.38,-1.391,-0.58,0.25,1139,train,0
S,0.335645,0.08,-0.059,-1.207,-0.395,0.2,729,test,NA
S,0.335645,0.219,-0.096,-0.846,-0.241,0.010869565,630,train,0
S,0.335645,0.253,-0.044,-0.844,-0.212,0.005347594,420,train,0
S,0.335645,0.26,-0.127,-1.33,-0.399,0.002173913,1377,train,0
S,0.339168,0.193,-0.063,-0.824,-0.231,0.002347418,1850,train,0
S,0.339168,0.337,0.267,-0.597,0.002,0.004347826,3295,train,0
S,0.339168,0.422,0.697,-0.054,0.355,0.016632017,3196,train,0
S,0.339168,0.753,0.657,0.243,0.551,0.019354839,2722,train,0
S,0.339168,0.885,1.266,1.141,1.097,0.02027027,2811,test,NA
S,0.342579,0.069,-0.184,-1.224,-0.446,3.47464e-4,2205,test,NA
S,0.342579,0.206,-0.087,-0.671,-0.184,0.021676301,24,train,0
S,0.34258,0.135,-0.202,-1.118,-0.395,0.022670025,344,train,0
S,0.3426,0.053,-0.553,-1.443,-0.648,0.001293661,2683,train,0
S,0.346032,0.053,-0.41,-1.742,-0.7,0.032514451,3107,test,NA
S,0.346032,0.132,-0.19,-0.745,-0.268,0.011904762,2968,train,0
S,0.346032,0.31,0.244,-0.658,-0.035,0.006451613,3134,test,NA
S,0.346032,0.592,0.202,0.007,0.267,0.006651885,1237,train,0
S,0.346032,0.78,0.358,0.295,0.478,0.042630058,2565,train,0
S,0.346032,0.909,1.353,1.11,1.124,0.224080268,897,train,0
S,0.349426,0.022,-0.563,-1.724,-0.755,0.004123711,2091,train,0
S,0.349426,0.042,-0.299,-1.519,-0.592,0.010869565,2946,train,0
S,0.349426,0.049,-0.341,-1.374,-0.555,0.002061856,1256,test,NA
S,0.349426,0.072,-0.295,-1.561,-0.595,0.001030928,1863,train,0
S,0.349426,0.203,-0.238,-0.689,-0.241,0.001718213,1357,train,0
S,0.349426,0.249,-0.121,-0.675,-0.182,0.002906977,1199,train,0
S,0.349426,0.76,1.052,0.802,0.871,0.00476758,3016,test,NA
S,0.349426,0.821,1.297,0.856,0.991,0.028571429,3477,train,0
S,0.35286,0.102,-0.076,-1.082,-0.352,0.002518892,2436,train,0
S,0.352862,0.074,-0.274,-1.195,-0.465,0.009090909,2233,train,0
S,0.352862,0.126,-0.401,-1.045,-0.44,0.028571429,2207,train,0
S,0.352862,0.127,-0.065,-1.426,-0.455,0.001453488,411,train,0
S,0.352862,0.509,0.71,0.136,0.452,0.002403846,2699,test,NA
S,0.352862,0.621,0.37,0.123,0.371,0.009090909,3019,test,NA
S,0.356642,0.062,-0.405,-1.289,-0.544,0.017857143,691,train,0
S,0.356642,0.074,-0.259,-1.61,-0.598,0.138297872,2790,train,0
S,0.356642,0.077,-0.131,-1.139,-0.398,0.04,3083,test,NA
S,0.356642,0.206,-0.005,-1.094,-0.298,0.002270148,1978,train,0
S,0.356642,0.377,1.123,0.075,0.525,0.001445087,3515,train,0
S,0.356642,0.628,0.353,-0.113,0.289,0.00173913,1439,train,0
S,0.359901,0.101,-0.392,-1.33,-0.54,0.321428571,2969,train,0
S,0.359901,0.183,0.055,-1.011,-0.258,0.00376569,112,train,0
S,0.359901,0.209,0.06,-0.297,-0.009,0.010989011,3165,train,0
S,0.36309,0.038,-0.474,-2.134,-0.857,0.001135074,1167,train,0
S,0.36309,0.187,-0.211,-1.067,-0.364,0.010204082,144,train,0
S,0.36309,0.233,0.614,-0.471,0.125,0.005524862,1766,train,0
S,0.36309,0.372,0.918,-0.22,0.357,0.302631579,3453,train,0
S,0.36309,0.422,1.051,0.062,0.512,0.009009009,1563,train,1
S,0.36309,0.437,0.485,-0.126,0.265,0.007225434,7,test,NA
S,0.366687,0.091,-0.065,-1.288,-0.421,0.008316008,748,train,0
S,0.366687,0.228,0.337,-0.889,-0.108,0.01981352,2886,train,0
S,0.366687,0.41,0.078,-0.545,-0.019,0,3141,train,0
S,0.366687,0.882,1.062,1.293,1.079,0.02200489,1658,train,0
S,0.3704,0.16,-0.101,-0.736,-0.226,0.029754204,1215,test,NA
S,0.370445,0.057,-0.274,-1.426,-0.548,0.047619048,1924,train,0
S,0.370445,0.059,-0.261,-1.609,-0.604,0.003405221,1229,test,NA
S,0.370445,0.074,-0.087,-1.194,-0.402,0,2506,train,0
S,0.370445,0.11,-0.029,-0.901,-0.273,0.002902758,2987,train,0
S,0.370445,0.206,-0.119,-0.7,-0.204,0.333333333,2013,train,0
S,0.370445,0.25,0.082,-0.7,-0.123,0.019130435,2139,train,0
S,0.370445,0.379,0.147,-0.442,0.028,0.012224939,1253,train,0
S,0.370445,0.44,0.13,-0.459,0.037,0.005952381,3004,train,0
S,0.370445,0.59,0.286,0.177,0.351,0.010869565,2647,train,0
S,0.370445,0.661,0.587,0.174,0.474,0.003405221,2575,train,0
S,0.374039,0.095,-0.019,-0.917,-0.28,0.002118644,1499,train,0
S,0.374039,0.097,-0.334,-1.152,-0.463,0.103092784,665,train,0
S,0.374039,0.356,0.754,-0.037,0.358,0.053475936,1552,train,0
S,0.374039,0.388,0.913,-0.201,0.367,0.01517341,1078,train,0
S,0.374039,0.524,0.781,-0.323,0.327,0.004750594,349,train,0
S,0.374039,0.581,0.255,0.166,0.334,0.333333333,3367,train,0
S,0.374039,0.73,0.919,0.428,0.692,0.029106029,269,train,0
S,0.374039,0.909,1.478,1.338,1.242,0.219251337,2567,test,NA
S,0.377384,0.069,-0.11,-1.336,-0.459,0.041580042,2812,train,0
S,0.377384,0.113,-0.038,-1.533,-0.486,0.006237006,3503,train,0
S,0.377384,0.284,-0.14,-0.519,-0.125,0.010526316,459,test,NA
S,0.377384,0.449,0.339,-0.092,0.232,7.22543e-4,3167,train,0
S,0.377384,0.573,0.378,0.062,0.338,0.006756757,316,train,0
S,0.377384,0.713,0.608,-0.054,0.422,0.03652968,3337,train,0
S,0.377384,0.808,1.136,0.759,0.901,0.091836735,1760,train,0
S,0.380708,0.22,0.006,-0.76,-0.178,0.002079002,3700,train,0
S,0.380708,0.281,-0.002,-0.285,-0.002,0.002463054,1218,train,0
S,0.384,0.558,0.217,0.019,0.265,0.005174644,3691,train,0
S,0.384043,0.045,-0.315,-1.451,-0.574,0.016260163,2698,train,0
S,0.384043,0.25,0.576,-0.24,0.195,0.013623978,588,train,0
S,0.384043,0.278,0.183,-0.91,-0.15,0.166666667,1798,test,NA
S,0.384043,0.352,0.146,-0.639,-0.047,0.001451379,991,test,NA
S,0.384043,0.505,0.29,-0.132,0.221,0.044198895,3073,train,0
S,0.384043,0.518,0.307,-0.128,0.232,0.010695187,616,train,0
S,0.384043,0.636,0.879,-0.08,0.478,0.058823529,2442,train,0
S,0.384043,0.71,0.528,0.272,0.503,0.018711019,2775,train,0
S,0.387226,0.06,-0.206,-1.484,-0.543,0.04,1600,train,0
S,0.387226,0.121,-0.176,-1.061,-0.372,0.003610108,352,train,0
S,0.387226,0.148,-0.212,-1,-0.355,0.006451613,2462,train,0
S,0.387226,0.507,0.055,-0.32,0.081,0.041666667,1142,train,0
S,0.390993,0.055,-0.324,-1.475,-0.581,0.004716981,1473,train,0
S,0.390993,0.091,-0.326,-1.162,-0.466,0.023809524,153,train,0
S,0.390993,0.141,0.028,-0.795,-0.209,0.032608696,919,test,NA
S,0.390993,0.651,0.425,0.043,0.373,0.002906977,52,train,0
S,0.391,0.037,-0.294,-1.951,-0.736,0.001940492,2748,test,NA
S,0.391,0.372,0.207,-0.261,0.106,0.009463722,2537,test,NA
S,0.394753,0.06,-0.406,-1.865,-0.737,0,3679,train,0
S,0.394753,0.064,-0.254,-1.101,-0.43,0.025498891,1186,train,0
S,0.394753,0.091,-0.163,-1.258,-0.443,0.008928571,2607,train,0
S,0.394753,0.443,0.221,-0.288,0.125,0.215189873,3278,train,0
S,0.394753,0.658,0.318,-0.009,0.322,0.010869565,1100,train,0
S,0.394753,0.73,0.377,0.015,0.374,0.026315789,3711,train,1
S,0.394753,0.904,1.726,1.464,1.365,0.787234043,3565,train,1
S,0.3948,0.098,0.081,-1.084,-0.302,0.009702458,1975,train,0
S,0.398279,0.059,-0.213,-1.453,-0.536,0.010869565,1196,train,0
S,0.398279,0.073,-0.449,-1.365,-0.58,0.011350738,1018,train,0
S,0.398279,0.169,-0.135,-0.889,-0.285,0.0625,341,train,0
S,0.398279,0.191,0.038,-0.873,-0.215,0.028571429,1101,train,0
S,0.398279,0.275,0.112,-0.514,-0.042,0.180645161,1352,test,NA
S,0.398279,0.288,0.158,-0.538,-0.031,0.018711019,1829,train,0
S,0.398279,0.332,0.104,-0.708,-0.091,0.007211538,1614,train,0
S,0.398279,0.438,0.742,-0.18,0.333,0.002444988,1525,train,0
S,0.398279,0.577,0.354,0.257,0.396,0.135483871,3222,test,NA
S,0.398279,0.634,1.006,0.355,0.665,0.021857924,1697,train,0
S,0.398279,0.748,0.918,0.246,0.637,0.0041841,3436,train,0
S,0.398279,0.843,0.861,0.627,0.777,0.02173913,941,test,NA
S,0.401658,0.061,-0.35,-1.467,-0.585,0.002347418,1461,train,0
S,0.401658,0.087,-0.04,-1.218,-0.39,0.010676157,794,train,0
S,0.401658,0.121,-0.187,-1.093,-0.386,0.008064516,2912,train,0
S,0.401658,0.16,-0.162,-0.883,-0.295,0.010989011,1000,train,0
S,0.401658,0.294,0.041,-0.376,-0.014,0.005076142,3484,train,0
S,0.401658,0.487,0.175,-0.288,0.125,0,3626,test,NA
S,0.401658,0.488,0.827,0.058,0.458,0.092783505,3510,test,NA
S,0.401658,0.632,0.188,-0.104,0.239,0.041666667,3053,train,0
S,0.401658,0.689,0.848,0.107,0.548,0.315850816,2878,train,0
S,0.4051,0.199,0.325,-0.731,-0.069,0.004527814,1888,train,0
S,0.40511,0.076,-0.371,-1.603,-0.633,0.029511918,3652,train,0
